"Document/Word","thanks popped kindness rocks open day event garden yesterday rock garden looks great opportunity plant crops feeling fantastic","show time sizzling coffee hot waiting see come along make kindness rock plant seedling last","time running put submissions wastewater plant service logan village chambers flat park ridge closes monday see link","join morning amp paint rock inspirational words bring kids art activities pop-up library amp free sat aug 18 community garden shaw street oval","see tomorrows open home schedule properties open flagstone amp see","hope see","presented residents winter video update outlines progress community","cr tells consulted extensively proposed treatment","presented residents winter video update outlines progress community development","cr tells consulted extensively proposed treatment plant near amp still time residents say","driver job domino indeed jobs","11 close investing first home buyer first home owner","mingle markets got come say hi feeling excited mingle markets","asked improved emergency services logan south-west recent queensland government budget includes funding police ambulance fire service facilities read"
"thanks","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"popped","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"kindness","1","1","0","0","0","0","0","0","0","0","0","0","0","0"
"rocks","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"open","1","0","0","0","2","0","0","0","0","0","0","0","0","0"
"day","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"event","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"garden","2","0","0","1","0","0","0","0","0","0","0","0","0","0"
"yesterday","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"rock","1","1","0","1","0","0","0","0","0","0","0","0","0","0"
"looks","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"great","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"opportunity","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"plant","1","1","1","0","0","0","0","0","0","1","0","0","0","0"
"crops","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"feeling","1","0","0","0","0","0","0","0","0","0","0","0","1","0"
"fantastic","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"show","0","1","0","0","0","0","0","0","0","0","0","0","0","0"
"time","0","1","1","0","0","0","0","0","0","1","0","0","0","0"
"sizzling","0","1","0","0","0","0","0","0","0","0","0","0","0","0"
"coffee","0","1","0","0","0","0","0","0","0","0","0","0","0","0"
"hot","0","1","0","0","0","0","0","0","0","0","0","0","0","0"
"waiting","0","1","0","0","0","0","0","0","0","0","0","0","0","0"
"see","0","1","1","0","2","1","0","0","0","0","0","0","0","0"
"come","0","1","0","0","0","0","0","0","0","0","0","0","1","0"
"along","0","1","0","0","0","0","0","0","0","0","0","0","0","0"
"make","0","1","0","0","0","0","0","0","0","0","0","0","0","0"
"seedling","0","1","0","0","0","0","0","0","0","0","0","0","0","0"
"last","0","1","0","0","0","0","0","0","0","0","0","0","0","0"
"running","0","0","1","0","0","0","0","0","0","0","0","0","0","0"
"put","0","0","1","0","0","0","0","0","0","0","0","0","0","0"
"submissions","0","0","1","0","0","0","0","0","0","0","0","0","0","0"
"wastewater","0","0","1","0","0","0","0","0","0","0","0","0","0","0"
"service","0","0","1","0","0","0","0","0","0","0","0","0","0","1"
"logan","0","0","1","0","0","0","0","0","0","0","0","0","0","1"
"village","0","0","1","0","0","0","0","0","0","0","0","0","0","0"
"chambers","0","0","1","0","0","0","0","0","0","0","0","0","0","0"
"flat","0","0","1","0","0","0","0","0","0","0","0","0","0","0"
"park","0","0","1","0","0","0","0","0","0","0","0","0","0","0"
"ridge","0","0","1","0","0","0","0","0","0","0","0","0","0","0"
"closes","0","0","1","0","0","0","0","0","0","0","0","0","0","0"
"monday","0","0","1","0","0","0","0","0","0","0","0","0","0","0"
"link","0","0","1","0","0","0","0","0","0","0","0","0","0","0"
"join","0","0","0","1","0","0","0","0","0","0","0","0","0","0"
"morning","0","0","0","1","0","0","0","0","0","0","0","0","0","0"
"amp","0","0","0","2","1","0","0","0","0","1","0","0","0","0"
"paint","0","0","0","1","0","0","0","0","0","0","0","0","0","0"
"inspirational","0","0","0","1","0","0","0","0","0","0","0","0","0","0"
"words","0","0","0","1","0","0","0","0","0","0","0","0","0","0"
"bring","0","0","0","1","0","0","0","0","0","0","0","0","0","0"
"kids","0","0","0","1","0","0","0","0","0","0","0","0","0","0"
"art","0","0","0","1","0","0","0","0","0","0","0","0","0","0"
"activities","0","0","0","1","0","0","0","0","0","0","0","0","0","0"
"pop","0","0","0","1","0","0","0","0","0","0","0","0","0","0"
"up","0","0","0","1","0","0","0","0","0","0","0","0","0","0"
"library","0","0","0","1","0","0","0","0","0","0","0","0","0","0"
"free","0","0","0","1","0","0","0","0","0","0","0","0","0","0"
"sat","0","0","0","1","0","0","0","0","0","0","0","0","0","0"
"aug","0","0","0","1","0","0","0","0","0","0","0","0","0","0"
"community","0","0","0","1","0","0","1","0","1","0","0","0","0","0"
"shaw","0","0","0","1","0","0","0","0","0","0","0","0","0","0"
"street","0","0","0","1","0","0","0","0","0","0","0","0","0","0"
"oval","0","0","0","1","0","0","0","0","0","0","0","0","0","0"
"tomorrows","0","0","0","0","1","0","0","0","0","0","0","0","0","0"
"home","0","0","0","0","1","0","0","0","0","0","0","2","0","0"
"schedule","0","0","0","0","1","0","0","0","0","0","0","0","0","0"
"properties","0","0","0","0","1","0","0","0","0","0","0","0","0","0"
"flagstone","0","0","0","0","1","0","0","0","0","0","0","0","0","0"
"hope","0","0","0","0","0","1","0","0","0","0","0","0","0","0"
"presented","0","0","0","0","0","0","1","0","1","0","0","0","0","0"
"residents","0","0","0","0","0","0","1","0","1","1","0","0","0","0"
"winter","0","0","0","0","0","0","1","0","1","0","0","0","0","0"
"video","0","0","0","0","0","0","1","0","1","0","0","0","0","0"
"update","0","0","0","0","0","0","1","0","1","0","0","0","0","0"
"outlines","0","0","0","0","0","0","1","0","1","0","0","0","0","0"
"progress","0","0","0","0","0","0","1","0","1","0","0","0","0","0"
"cr","0","0","0","0","0","0","0","1","0","1","0","0","0","0"
"tells","0","0","0","0","0","0","0","1","0","1","0","0","0","0"
"consulted","0","0","0","0","0","0","0","1","0","1","0","0","0","0"
"extensively","0","0","0","0","0","0","0","1","0","1","0","0","0","0"
"proposed","0","0","0","0","0","0","0","1","0","1","0","0","0","0"
"treatment","0","0","0","0","0","0","0","1","0","1","0","0","0","0"
"development","0","0","0","0","0","0","0","0","1","0","0","0","0","0"
"near","0","0","0","0","0","0","0","0","0","1","0","0","0","0"
"still","0","0","0","0","0","0","0","0","0","1","0","0","0","0"
"say","0","0","0","0","0","0","0","0","0","1","0","0","1","0"
"driver","0","0","0","0","0","0","0","0","0","0","1","0","0","0"
"job","0","0","0","0","0","0","0","0","0","0","1","0","0","0"
"domino","0","0","0","0","0","0","0","0","0","0","1","0","0","0"
"indeed","0","0","0","0","0","0","0","0","0","0","1","0","0","0"
"jobs","0","0","0","0","0","0","0","0","0","0","1","0","0","0"
"close","0","0","0","0","0","0","0","0","0","0","0","1","0","0"
"investing","0","0","0","0","0","0","0","0","0","0","0","1","0","0"
"first","0","0","0","0","0","0","0","0","0","0","0","2","0","0"
"buyer","0","0","0","0","0","0","0","0","0","0","0","1","0","0"
"owner","0","0","0","0","0","0","0","0","0","0","0","1","0","0"
"mingle","0","0","0","0","0","0","0","0","0","0","0","0","2","0"
"markets","0","0","0","0","0","0","0","0","0","0","0","0","2","0"
"got","0","0","0","0","0","0","0","0","0","0","0","0","1","0"
"hi","0","0","0","0","0","0","0","0","0","0","0","0","1","0"
"excited","0","0","0","0","0","0","0","0","0","0","0","0","1","0"
"asked","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"improved","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"emergency","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"services","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"south","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"west","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"recent","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"queensland","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"government","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"budget","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"includes","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"funding","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"police","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"ambulance","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"fire","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"facilities","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"read","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
