,tweet,Python_cosine,python_euclidean
435,male rottweiler x found another dog,5,4
436,male http,6,0
437,far behind brother hope tops c n g e n pacific sb logan eight mile plains,1,3
438,logan every crime z found link rates numbers http,0,4
439,nominate inaugural logan business distinction awards http,0,0
440,pacific motorway congestion southbound due crash logan river bridge delays http,4,5
441,pacific motorway macgregor congestion southbound delays logan delays allow extra,4,5
442,crash m1 nb compton exit delays slacks creek,2,6
443,pacific motorway crash northbound logan one lane blocked,4,5
444,dog appears small overweight fox http,6,0
445,dramas already 5 car nose tail m1 northbound logan delays back,2,6
446,brisbane report road traffic crash northbound pacific motorway logan road,3,1
447,pacific motorway crash northbound centre right lanes exit 20 logan road http,4,5
448,found budgie http,6,4
449,panels installation logan uniting church panels http,0,0
450,panels installation logan uniting church http,0,0
451,pacific motorway debris vegetation hazard northbound ladder logan exit 20,4,5
452,missing dog name white brown http,6,4
453,full logan even work,0,2
454,taking place park consulting candidates logan http,0,0
455,missing 2 x dogs logan region,5,4
456,lost 2 choc labs male female http,6,0
457,kylie,6,2
458,hi please help lost red http,6,0
459,pacific motorway northbound left lane logan sports drive,4,5
460,pacific motorway crash northbound right lane adjacent logan road delay http,4,5
461,traffic accident report m1 near logan exit southbound,2,6
462,c n g e n m1 sb heavy earlier crash near main exit 35 delays also logan,1,3
463,funeral advisory service logan australia http,0,0
464,running capability statement workshop logan morning,0,2
465,found area blind one eye http,6,4
466,every cloud silver lining brisbane logan beautiful,0,2
467,looking mum dad found last night http,6,4
468,c n g e n m1 nb extreme delays due earlier crash near logan gradually easing spots,1,3
469,c n g e n m1 nb extreme delays due earlier crash near logan 20 delays,1,3
470,m1 traffic woes continue crash near logan cars stationary,2,6
471,one person stable minibus logan traffic delays expected,0,2
472,4 vehicle prang including minibus m1 northbound logan causing big delays back,2,6
473,brisbane report road traffic crash logan motorway ramp pacific motorway,4,5
474,flash flooding flooded forget,6,2
475,post flooded areas,6,2
476,hi found german shepard roaming http,6,4
477,cat missing friday pm grimes http,6,0
478,taylor grant,6,2
479,brindle found http,6,4
480,ro solar panel installations logan uniting church http,0,0
481,long term missing please help family get http,6,0
482,lost birds logan region,5,4
483,lost 2 x alexandrine parrots http,6,0
484,vt 400 shadow sale motorcycles australia logan area http,0,0
485,stair training brisbane deep south http logan running stairs,0,0
486,crash pacific motorway 2 lanes closed motorists urged take logan road exit,4,5
487,c n g e n m1 sb logan eight mile plains,1,3
488,morning helen guest speaker logan city women business great turn http,0,0
489,training started journey become consultant logan north library,0,2
490,lazy local member councillor done absolutely bugger,6,2
491,robbery logan http,0,0
492,posting kylie murray,6,2
493,please help find old http,6,0
494,know logan tag garden always came logan observation,0,2
495,hi matt pejorative use logan know bad happens logan,0,2
496,salmonella investigation launched metro south health public health unit collaboration logan city council,0,2
497,posting,6,2
498,bob missing http,6,0
499,found playful boy yard ago http,6,4
500,found mini male found please call http,5,4
501,pacific highway hazard debris vegetation northbound logan road delays expected pro http,4,5
502,dogs bolted see pm,6,2
503,slipped http,6,0
504,sighted dog freeway logan region,5,4
505,saw brindle similar collar run http,6,0
506,brisbane road traffic crash pacific motorway northbound exit logan road,3,1
507,request,6,2
508,dentist dentures logan area hill,0,2
509,dog went missing yesterday storm http,6,4
510,found female maltese x currently animal http,6,4
511,c n g e n pacific sb logan eight mile plains around merges,1,3
512,c n g e n m1 nb slow also m1 sb logan wet conditions incidents,1,3
513,couple interesting storm cells go upper logan area keep safe guys hard http,0,0
514,bit smoke logan,0,2
515,found puppy area near white http,6,4
516,area missing please help much http,6,0
517,pacific motorway crash northbound left lane left shoulder logan http,4,5
518,city logan head grandma kiwi kitchen,0,2
519,road homes sold logan http,3,1
520,racist banner hung m1 near logan council investigating http,0,0
521,logan fix retail therapy every thursday visit shopping centre http,0,0
522,daniel,6,2
523,lost morning http,6,0
524,code 2,6,2
525,intersection,6,2
526,road,6,1
527,logan road,3,1
528,received report http,6,0
529,pacific motorway crash northbound right lane logan road ramp de http,4,5
530,lost rainbow lorikeet mustard mutation leg http,6,0
531,found area tonight assuming http,6,4
532,c n g e n m1 nb foggy conditions around logan river bridge,1,3
533,found cockatiel logan region,5,4
534,found cockatiel friday 29th august around http,6,4
535,brisbane report road traffic crash pacific motorway northbound logan road,3,1
536,c n g e n pacific m1 sb busy logan eight mile plains slow around merge,1,3
537,traffic backed m1 logan goes far,0,2
538,traffic update pacific crash inbound right lane exit 20 logan 1 lane blocked delays expected,4,5
539,saturday free seminar dog barking thanks logan city council http,0,0
540,accident northbound pacific motorway logan road clear,4,5
541,found currently animal emergency service http,6,4
542,crash m1 nb near logan compton exit delays back park exit 28,2,6
543,sushi train station closed monday 11 august due logan city royal queensland show http,0,0
544,gorgeous day brisbane day go logan,0,2
545,foggy morning foggy logan brisbane bus bridge http,0,0
546,shame logan north library panel 30 aug sign,0,2
547,white grey blue eyes manx tail female cat name baby http,6,0
548,went missing yesterday escape route backyard http,6,0
549,property manager logan brisbane property manager logan http,0,2
550,shared,6,2
551,impounded cat logan,0,2
552,lost dogs logan region,5,4
553,two lost huskies black snow white tagged http,6,0
554,c n g e n pacific sb logan eight mile plains,1,3
555,pacific motorway stationary vehicle northbound left lane logan ramp short delays,4,5
556,hello dog lost,6,4
557,incident logan road ramp thursday june 12 pm http,3,1
558,logan road ramp crash northbound right lane blocked end ram,4,5
559,crash pacific motorway nb logan delays,4,5
560,pacific motorway crash northbound reports crash near logan road unknown http,4,5
561,crash m1 nb cl near logan exit heavy delays,2,6
562,traffic accidents pacific motorway logan road castile cr overland edens landing,4,5
563,reports road traffic crash pacific motorway logan road,3,1
564,get ready weekend saturday night battling brisbane logan finest http,0,0
565,assisting gentle logan southern brisbane districts caring http,0,0
566,pacific motorway hazard debris vegetation southbound lane 2 logan motorway http,4,5
567,m1 delays northbound logan motorway earlier crash,2,6
568,paramedics took male logan hospital lacerations fell bicycle around,0,2
569,german shepherd x handed animal emergency service http,6,0
570,boy found afternoon wandering road http,6,1
571,pacific motorway stationary vehicle southbound left lane logan road short delays http,4,5
572,pacific motorway upper mount congestion southbound logan road medium delays ex http,4,5
573,found female border collie cross kelpie guess http,6,4
574,update armed robbery logan http,0,0
575,lions club logan absolutely packed come,0,2
576,logan turned big numbers watch local hero big screen lions,0,2
577,anywhere near logan sunday come join us fight lions,0,2
578,need help spread word beloved hub let http,6,0
579,roll sleeves logan,0,2
580,c n g e n m1 sb building logan gateway merge eight mile plains good run,1,3
581,searching good feed area hit suggestions,6,2
582,logan theaters 9 mr peabody sherman w 4 http,0,0
583,oh logan specifically,0,2
584,incident logan road monday march 17 pm http,3,1
585,collision eastbound logan pacific,4,5
586,logan road crash eastbound logan road eastbound left lane blocked l http,3,1
587,ladies deadly chicks networking gathering area logan region considered http,5,4
588,towing 24/7 logan brisbane gold coast automotive australia logan area,0,2
589,free car body removals 7 days week towing community australia logan area,0,2
590,black male desexed,6,2
591,area looks http,6,0
592,state high school queensland state school located logan city suburb,0,2
593,accident logan road pacific motorway clear,4,5
594,logan road thursday february pm http incident traffic,3,1
595,crash logan m1 ramps near baker,2,6
596,accident logan road pacific motorway,4,5
597,logan road crash northbound crash middle intersection p http,2,6
598,brisbane report road traffic crash pacific motorway logan road,3,1
599,missing snake logan region,5,4
600,missing python http,6,0
601,mortgage choice servicing logan area mortgage choice http,0,0
602,car ca drive home feel naked issue car logan area,0,2
603,destination sign better top bottom logan bus bus station http,0,0
604,menu sunday night pizza people meeting logan uniting church http,0,0
605,region,6,4
606,missing cat 14 weeks old http,6,0
607,female dog named approximately 6 years http,6,0
608,incident logan road ramp tuesday january pm http,3,1
609,logan road ramp stationary vehicle northbound lane lanes reduced delays expected http,4,5
610,family dog escaped house cinderella http,6,0
611,traffic accidents kingston wembley logan central m1,0,2
612,water main burst logan underwood affecting pressures higher areas parts sth underwood,0,2
613,logan city accident road road clear,3,1
614,places like less logan centre valley public toilet whatever building abbot,0,2
615,old school sent membership card coffee club logan centre,0,2
616,60 local tows logan bookings required http,0,0
617,found 2 x dogs area logan region,5,4
618,found 2 x dogs http,6,4
619,brother law female follow home http,6,0
620,lost bird logan region,5,4
621,lost,6,2
622,please contact,6,2
623,ph,6,2
624,lost http,6,0
625,incident alert pacific motorway crash logan exit 20 one lane sour,4,5
626,pacific ramp stationary vehicle left shoulder end logan http,4,5
627,c n g e n m1 nb slow logan river bridge earlier crash near,1,3
628,anon,6,2
629,looking hair dresser logan still uses cap streaking please,0,2
630,towing offers 60 local tows slacks creek kingston logan central,0,2
631,annual awards night inspiring ben frost another logan talented gems bright future,0,2
632,c n g e n m1 sb logan eight mile plains around merges,1,3
633,incident alert reports road traffic crash vicinity bus logan source,3,1
634,reports road traffic crash vicinity bus logan http,3,1
635,mt accident southbound logan road clear,3,1
636,c n g e n pacific m1 sb busy logan eight mile plains,1,3
637,logan turn right tavern ride distillery get m1 service,0,2
638,handy area logan get kids negative positive http,0,0
639,area islander kiwi,6,2
640,accident logan road compton clear,3,1
641,pacific motorway hazard debris vegetation near logan ramp one http,4,5
642,logan city traffic lights northbound,0,2
643,m1 absolute shocker northbound logan earlier accident,0,2
644,congratulations students 8 schools performed logan idol winners,0,2
645,neat cosy 3 house kingston shops schools bus front door http logan,0,0
646,missing dog daisy hill logan region,5,4
647,male x creamy colour http,6,0
648,park logan girls waiting,0,2
649,round 4 open http,6,0
650,logan city traffic lights road road clear,3,1
651,lives mr classes australia logan area http,0,0
652,posted ben,6,2
653,please help family http,6,0
654,2nd quarter ended v gold logan live scores http,0,0
655,m1 cactus northbound logan river bridge earlier smash,2,2
656,3rd quarter ended v gold 2 logan live scores http,0,0
657,missing male rottweiler x kelpie black http,6,4
658,lost dog area rottweiler x kelpie medium sized answers please help find boy,5,4
659,actually south park central slacks creek waterford logan,0,2
660,next weeks semi final gold v gold logan park sun 25 aug,0,2
661,must lost regular gigs tavern logan diggers respectively,0,2
662,low set house sale kingston http,6,0
663,logan brisbane,0,2
664,suns thanks bank big peter wild team logan community bank http,0,0
665,reminder office closed monday 12th august due logan public holiday http,0,0
666,disabled truck logan road pacific clear,4,1
667,breakdown semi logan exit nb cl m1 slight delays,2,6
668,semi logan exit nb cl m1,2,6
669,incident logan road saturday july 27 http,3,1
670,delightful little excursion morning logan great start working week,0,2
671,question,6,2
672,recommend good naturopath logan area preferably around,0,2
673,still missing,6,2
674,help find,6,2
675,help find http,6,0
676,incident logan road ramp thursday july 18 pm http,3,1
677,drop logan east community neighbourhood centre tonight discuss http,0,0
678,massive community garage sale today 12 logan uniting church,0,2
679,mortgage choice servicing logan area mortgage choice limited http,0,0
680,user,6,2
681,hi wondering logan area http,0,0
682,lost dogs,6,2
683,posting logan region weather photos info,5,2
684,user http,6,0
685,yeah remember gym bad logan,0,2
686,hi guys please ask landscapers turf logan close,0,2
687,thanks advance,6,2
688,focus restaurant fine dining logan thought,0,2
689,c n g e n compton nb solid logan,1,3
690,breakfast feast logan meeting hotel morning http,0,0
691,liked video http logan city bus service clarks 14,0,0
692,hi logan city acoustic set lions club tonight 12 love see make,0,2
693,c n g e n m1 southbound heavy eight mile plains heavy delays logan upper mt,1,3
694,round 2 fireside 7s v logan jaguars road road,3,1
695,little apple seed baby clothing australia logan area http,0,0
696,intersection compton road logan road flooded two lanes going left lexington take care,3,1
697,black 23 games controller consoles australia logan area http,0,0
698,pacific motorway crash logan http,4,5
699,hotel logan,0,2
700,crash logan ramp nb m1,2,6
701,saw strike hit ground follows sparks flying air hope storm logan,0,2
702,c n g e n pacific sb logan,1,3
703,massive freeway police logan,0,2
704,hazard signal fault directions intersection logan http,0,0
705,buy laptop acer ram laptops australia logan area http,0,0
706,suburb logan,0,2
707,http based logan city australia deliver australia worldwide,0,0
708,griffith student brisbane interns logan community bank wonder come event,0,2
709,c n g e n m1 nb logan river bridge,1,3
710,access logan hospital m1 cut southbound even bother trying drive anywhere today holy,0,2
711,reports road traffic crash logan underwood http brisbane,3,1
712,exactly plenty places logan park daisy hill great,0,2
713,brisbane around logan area went state high,0,2
714,pick packer logan http job,0,0
715,places filling fast storm chasing talk logan north library 19th january http,0,0
716,reason helicopter hovering around daisy hill area know logan,0,2
717,bus commuters leaving bus station receive unexpected christmas cheers hope enjoy logan,0,2
718,vehicle accident m1 nb logan exit 20,2,6
719,accountant intermediate business services accountant logan posted,0,2
720,http job jobs,6,0
721,new post intermediate business services accountant logan http jobs brisbane,0,0
722,must condition employment contract albert logan news smoke,0,2
723,check high school artwork logan young people gallery http logan art gallery,0,2
724,check brisbane fare road logan road eight mile plains http,3,1
725,pacific motorway hazard debris vegetation northbound chairs exit 20 logan road blockage delays expected p,4,5
726,pacific motorway hazard debris vegetation chairs exit 20 logan r http,4,5
727,great night logan city saints rugby flying hello visit red cross blood service christmas dinner,0,2
728,early morning logan pool people giving away gifts first 10 people arrive win,0,2
729,new logan libraries dvd encouraging reading babies toddlers launched lions http,0,0
730,logan east butterfly wings message,0,2
731,attend butterfly wings last program http,6,0
732,brisbane intermediate business services accountant logan posted,0,2
733,cam post logan storm cell snap took facing ese http,0,0
734,bad surrounded kingston problematic logan areas,0,2
735,oct 17 pm week logan,0,2
736,tells us http,6,0
737,logan road underwood crash eastbound road left lane partial lane http,3,1
738,accident along logan underwood,0,2
739,incident logan road sunday october http,3,1
740,logan road hazard signal fault directions blockage delays expected proceed ca http,3,1
741,way back aqua logan pool see lawrence teach kiddies around come say hi xx,0,2
742,like logan,0,2
743,logan chamber commerce trivia night state high school friday 19th october get http,0,0
744,convinced get pick till gave already rich nephew loves logan,0,2
745,seen station logan city bus service 44 logan bus,0,2
746,reports road traffic crash logan motorway pacific http brisbane,3,1
747,logan motorway pacific,4,5
748,traffic woe breakdown m1 right lane logan exit delays back park,2,6
749,broken car m1 nb logan exit delays back park,2,6
750,great night logan diggers sub branch annual anniversary dinner,0,2
751,forget real estate winner logan realty well done guys,0,2
752,feeling peckish go dining category winner red rock noodle bar dinner logan,0,2
753,gave 5 stars logan http http,0,0
754,joined logan http,0,0
755,business owners super qualified referrals dedicated group,6,2
756,store retail awards finalist albert logan news logan edition region http,0,2
757,pacific motorway stationary vehicle logan ramp http,4,5
758,pacific motorway stationary vehicle northbound logan road ramp sports http,4,5
759,logan city council free clean service underwood may 28 june 1,0,2
760,queensland logan chapter launch wednesday 30 may http,0,0
761,holy fuck know right happens time logan road heading around glen dumb,3,1
762,accident m1 nb logan ramp,2,6
763,mt broken bus logan road outbound left lane area http,3,1
764,mount logan road stationary vehicle broken bus logan road outbound http,3,1
765,matt good time logan chamber commerce breakfast thanks high logan chamber,0,2
766,logan 1 voters go 2 high booth u want 2 queue 200 voters day reckon,0,2
767,apr 27 check motor show logan http,0,0
768,voting 4 division 1 pacific highway kingston logan central,4,5
769,awesome see park packed residents ages anzac service morning anzac spirit alive logan city anzac,0,2
770,one logan called,0,2
771,site kids oval sports drive underwood logan,0,2
772,logan best air quality australia equal 3rd world monitored high school,0,2
773,apr pm check logan easter carnival,0,2
774,reservoir popular place logan 4 bicycle safety awareness purpose track,0,2
775,fitzgerald avenue crash multiple vehicle crash logan road pacific motorway http,4,5
776,car vs logan exit nb m1 m1 ems site,2,6
777,hazard affecting right lane pacific logan exit e http,4,5
778,visiting coffee club talk business leaders logan,0,2
779,broken vehicle blocking right lane logan pacific mo http,4,5
780,1st grading match 12 12 noon logan cobras please wear navy shorts,0,2
781,watch radar bruce gateway belmont logan,0,2
782,playing tonight logan uniting church feel free come along worship us starts,0,2
783,logan book signing true spirit cyclone,0,2
784,community event electorate today logan east labor ca hold seats like ca win,0,2
785,tomorrow 12 drop logan east community neighbourhood centre cuppa chat peter,0,2
786,ferrous niece goes school spanish part school curriculum maybe south border logan,0,2
787,good meeting logan new meeting room lions great local projects,0,2
788,bringing picture books alive waddle giggle gargle allen logan east,0,2
789,brilliant meeting new people homes much positive feedback optimism future logan,0,2
790,like logan near like stuff ill find,0,2
791,logan city http,0,0
792,idea 1 see sunset reservoir lookout panoramic views logan,0,2
793,thanks hospitality students 2 lessons wonderful breakfast logan chamber commerce network,0,2
794,ordained minister word logan,0,2
795,thanks follow sherry north logan needs strong voice vision area area,0,2
796,jean coffees logan centre pacific http,4,0
797,section m1 logan gold coast stretch pacific motorway named riskiest road,4,5
798,deep tissue massage beneficial massage logan http,0,0
799,great honour patron new relay life formerly logan support http,0,0
800,branch manager logan community bank branch date time listed pm http,0,0
801,broken car logan sb,0,2
802,dig deep children care http thanks service sub branch logan donation,0,0
803,2 car crash logan mt east,2,6
804,mt east reports crash logan street http,2,0
805,mount east street crash reports multiple vehicle crash logan road http,2,6
806,crash m1 nb logan ramp ems attending medium delays,2,6
807,handing hampers service sub branch foster families logan,0,2
808,queensland issues kingston logan central slacks creek,0,2
809,truck brakes fire merge exit 1 lane m1 blocked traffic back logan,2,6
810,logan mps backed albert logan news campaign fix m1 choke point,0,2
811,member http,6,0
812,thanks services sub branch helping logan foster families beautiful hampers toys food,0,2
813,reports road traffic crash logan http brisbane,3,1
814,catch ladies logan morning coffee club discussing fantastic logan projects,0,2
815,radars gateway sherwood waterford logan village,0,2
816,branch manager logan community bank branch http adelaide,0,0
817,launch friday 2nd december brisbane lions social club,6,2
818,well done rotary club logan holding working morning,0,2
819,c n g e n logan slow directions kingston underwood,1,3
820,vehicle partially blocking left lane pacific logan http,4,5
821,part road revamped thanks funding logan city council http,3,0
822,logan location lifestyle community study showed best air quality australia equal 3rd world site,0,2
823,logan named lowest australian city 4 air quality world health organisation averaged 3rd best country world,0,2
824,logan road compton road http,3,1
825,logan services night live station,0,2
826,launch new brisbane lions website official brisbane lions afl football club logan stay tuned,0,2
827,hi karen logan writers catch today coffee club,0,2
828,commencement outdoor display events area logan north library http,0,0
829,piece metal pacific paradise logan please proceed http,4,0
830,traffic signals logan service flashing amber http,0,0
831,street fault traffic signals intersection logan service road http,3,1
832,improving drainage runoff quality logan nth oval http,0,0
833,start stage 2 oval logan nth library improvements car park creating outdoor area,0,2
834,ford ranger triggered 43,6,2
835,australia,6,2
836,brisbane pacific heavy congestion logan due http,4,0
837,pacific heavy congestion logan due earlier crash http,4,5
838,logan vikings swimming club saturday 20 august sports drive underwood,0,2
839,live near logan chemist good kind still ask good stuff,0,2
840,watch vans today logan indoor sports complex browns plains opals vs china,0,2
841,think buses logan affect,0,2
842,find words strong enough explain feel back logan city today,0,2
843,reports road traffic crash w possible vehicle rollover logan exit northbound pacific http,4,5
844,little gem south friend recently discovered place logan called http,0,0
845,interested competitive swimming aquatic centre home logan vikings swimming http,0,0